easting(x),northing(y),elevation(z)
200575.0,839925.0,332.0
200625.0,839925.0,336.2
200675.0,839925.0,343.6
200725.0,839925.0,343.2
200775.0,839925.0,343.9
200825.0,839925.0,349.7
200875.0,839925.0,360.6
200925.0,839925.0,369.5
200975.0,839925.0,373.8
201025.0,839925.0,373.0
201075.0,839925.0,374.6
201125.0,839925.0,367.0
201175.0,839925.0,353.6
201225.0,839925.0,334.7
201275.0,839925.0,320.4
201325.0,839925.0,306.1
201375.0,839925.0,289.3
201425.0,839925.0,276.3
201475.0,839925.0,266.6
201525.0,839925.0,263.1
201575.0,839925.0,258.6
201625.0,839925.0,247.8
201675.0,839925.0,226.8
201725.0,839925.0,236.5
201775.0,839925.0,246.4
201825.0,839925.0,253.1
201875.0,839925.0,256.4
201925.0,839925.0,265.2
201975.0,839925.0,276.4
202025.0,839925.0,281.6
202075.0,839925.0,291.7
202125.0,839925.0,300.9
202175.0,839925.0,311.5
202225.0,839925.0,321.6
202275.0,839925.0,332.7
202325.0,839925.0,341.7
202375.0,839925.0,347.1
202425.0,839925.0,356.8
202475.0,839925.0,365.0
202525.0,839925.0,382.4
202575.0,839925.0,403.4
202625.0,839925.0,420.1
202675.0,839925.0,434.8
202725.0,839925.0,446.2
202775.0,839925.0,458.9
202825.0,839925.0,475.8
202875.0,839925.0,494.5
202925.0,839925.0,512.8
202975.0,839925.0,526.6
203025.0,839925.0,538.8
203075.0,839925.0,541.6
203125.0,839925.0,542.6
203175.0,839925.0,543.8
203225.0,839925.0,545.5
203275.0,839925.0,537.2
203325.0,839925.0,536.1
203375.0,839925.0,536.3
203425.0,839925.0,525.3
203475.0,839925.0,534.5
203525.0,839925.0,554.2
203575.0,839925.0,573.7
203625.0,839925.0,582.1
203675.0,839925.0,596.3
203725.0,839925.0,604.2
203775.0,839925.0,606.4
203825.0,839925.0,610.6
203875.0,839925.0,615.3
203925.0,839925.0,614.9
203975.0,839925.0,618.5
204025.0,839925.0,612.1
204075.0,839925.0,609.2
204125.0,839925.0,597.0
204175.0,839925.0,578.4
204225.0,839925.0,568.8
204275.0,839925.0,555.4
204325.0,839925.0,544.9
204375.0,839925.0,537.4
204425.0,839925.0,535.6
204475.0,839925.0,533.6
204525.0,839925.0,531.2
204575.0,839925.0,527.0
204625.0,839925.0,531.4
204675.0,839925.0,533.2
204725.0,839925.0,535.1
204775.0,839925.0,535.6
204825.0,839925.0,535.7
204875.0,839925.0,546.4
204925.0,839925.0,555.5
204975.0,839925.0,570.0
205025.0,839925.0,582.9
205075.0,839925.0,592.4
205125.0,839925.0,612.2
205175.0,839925.0,631.8
205225.0,839925.0,655.7
205275.0,839925.0,683.2
205325.0,839925.0,705.4
205375.0,839925.0,714.4
205425.0,839925.0,726.3
205475.0,839925.0,736.2
205525.0,839925.0,741.2
205575.0,839925.0,745.8
205625.0,839925.0,749.0
205675.0,839925.0,751.2
205725.0,839925.0,755.0
205775.0,839925.0,752.8
205825.0,839925.0,743.6
205875.0,839925.0,736.6
205925.0,839925.0,738.9
205975.0,839925.0,743.3
206025.0,839925.0,749.4
206075.0,839925.0,754.1
206125.0,839925.0,756.4
206175.0,839925.0,761.5
206225.0,839925.0,772.2
206275.0,839925.0,780.1
206325.0,839925.0,787.2
206375.0,839925.0,794.3
206425.0,839925.0,802.5
206475.0,839925.0,807.8
206525.0,839925.0,806.6
206575.0,839925.0,800.1
206625.0,839925.0,800.1
206675.0,839925.0,798.5
206725.0,839925.0,794.7
206775.0,839925.0,780.0
206825.0,839925.0,751.4
206875.0,839925.0,744.4
206925.0,839925.0,731.5
206975.0,839925.0,713.5
207025.0,839925.0,700.9
207075.0,839925.0,693.3
207125.0,839925.0,679.7
207175.0,839925.0,666.5
207225.0,839925.0,659.2
207275.0,839925.0,650.9
207325.0,839925.0,643.6
207375.0,839925.0,638.8
207425.0,839925.0,641.4
207475.0,839925.0,646.6
207525.0,839925.0,654.3
207575.0,839925.0,661.8
207625.0,839925.0,676.8
207675.0,839925.0,692.5
207725.0,839925.0,701.0
207775.0,839925.0,702.1
207825.0,839925.0,701.1
207875.0,839925.0,698.3
207925.0,839925.0,692.9
207975.0,839925.0,680.7
208025.0,839925.0,666.1
208075.0,839925.0,647.4
208125.0,839925.0,630.3
208175.0,839925.0,611.3
208225.0,839925.0,601.5
208275.0,839925.0,593.4
208325.0,839925.0,581.4
208375.0,839925.0,570.4
208425.0,839925.0,559.4
208475.0,839925.0,548.8
208525.0,839925.0,540.0
208575.0,839925.0,530.7
208625.0,839925.0,522.7
208675.0,839925.0,515.5
208725.0,839925.0,508.6
208775.0,839925.0,501.3
208825.0,839925.0,489.2
208875.0,839925.0,479.5
208925.0,839925.0,480.4
208975.0,839925.0,475.7
209025.0,839925.0,475.4
209075.0,839925.0,470.4
209125.0,839925.0,466.7
209175.0,839925.0,469.9
209225.0,839925.0,474.0
209275.0,839925.0,477.9
209325.0,839925.0,482.4
209375.0,839925.0,487.3
209425.0,839925.0,488.8
209475.0,839925.0,486.3
209525.0,839925.0,484.5
209575.0,839925.0,483.0
209625.0,839925.0,479.4
209675.0,839925.0,474.5
209725.0,839925.0,467.8
209775.0,839925.0,462.9
209825.0,839925.0,457.1
209875.0,839925.0,451.8
209925.0,839925.0,445.9
209975.0,839925.0,438.9
210025.0,839925.0,430.8
210075.0,839925.0,422.6
210125.0,839925.0,416.5
210175.0,839925.0,410.7
210225.0,839925.0,404.8
210275.0,839925.0,400.1
210325.0,839925.0,393.2
210375.0,839925.0,388.7
210425.0,839925.0,384.6
210475.0,839925.0,378.3
210525.0,839925.0,372.9
210575.0,839925.0,367.0
210625.0,839925.0,359.7
210675.0,839925.0,352.1
210725.0,839925.0,344.5
210775.0,839925.0,338.8
210825.0,839925.0,331.7
210875.0,839925.0,326.1
210925.0,839925.0,319.2
210975.0,839925.0,315.0
211025.0,839925.0,312.1
211075.0,839925.0,306.7
211125.0,839925.0,302.2
211175.0,839925.0,296.8
211225.0,839925.0,292.6
211275.0,839925.0,290.8
211325.0,839925.0,287.6
211375.0,839925.0,288.0
211425.0,839925.0,277.8
211475.0,839925.0,270.6
211525.0,839925.0,265.9
211575.0,839925.0,262.2
211625.0,839925.0,258.8
211675.0,839925.0,256.0
211725.0,839925.0,248.9
211775.0,839925.0,244.1
211825.0,839925.0,238.5
211875.0,839925.0,237.9
211925.0,839925.0,235.7
211975.0,839925.0,231.0
212025.0,839925.0,228.3
212075.0,839925.0,228.5
212125.0,839925.0,226.9
212175.0,839925.0,227.4
212225.0,839925.0,227.5
212275.0,839925.0,232.8
212325.0,839925.0,236.0
212375.0,839925.0,237.9
212425.0,839925.0,238.5
212475.0,839925.0,237.1
212525.0,839925.0,235.1
212575.0,839925.0,236.3
212625.0,839925.0,232.6
212675.0,839925.0,229.8
212725.0,839925.0,229.0
212775.0,839925.0,226.6
212825.0,839925.0,218.7
212875.0,839925.0,225.4
212925.0,839925.0,229.6
212975.0,839925.0,227.9
213025.0,839925.0,226.6
213075.0,839925.0,218.7
213125.0,839925.0,218.7
213175.0,839925.0,218.7
213225.0,839925.0,218.7
213275.0,839925.0,218.7
213325.0,839925.0,218.7
213375.0,839925.0,218.7
213425.0,839925.0,218.7
213475.0,839925.0,225.5
213525.0,839925.0,226.8
213575.0,839925.0,231.5
213625.0,839925.0,231.5
213675.0,839925.0,231.2
213725.0,839925.0,231.0
213775.0,839925.0,231.5
213825.0,839925.0,231.9
213875.0,839925.0,231.2
213925.0,839925.0,231.2
213975.0,839925.0,230.1
214025.0,839925.0,229.2
214075.0,839925.0,228.2
214125.0,839925.0,226.8
214175.0,839925.0,227.2
214225.0,839925.0,227.1
214275.0,839925.0,220.1
214325.0,839925.0,220.3
214375.0,839925.0,230.6
214425.0,839925.0,235.2
214475.0,839925.0,237.9
214525.0,839925.0,235.2
214575.0,839925.0,238.5
214625.0,839925.0,238.9
214675.0,839925.0,249.2
214725.0,839925.0,257.7
214775.0,839925.0,260.7
214825.0,839925.0,262.6
214875.0,839925.0,269.9
214925.0,839925.0,272.2
214975.0,839925.0,273.5
215025.0,839925.0,277.4
215075.0,839925.0,280.2
215125.0,839925.0,283.6
215175.0,839925.0,287.0
215225.0,839925.0,291.7
215275.0,839925.0,296.5
215325.0,839925.0,305.6
215375.0,839925.0,308.2
215425.0,839925.0,311.6
215475.0,839925.0,304.9
215525.0,839925.0,303.2
215575.0,839925.0,302.3
215625.0,839925.0,301.5
215675.0,839925.0,301.9
215725.0,839925.0,300.8
215775.0,839925.0,301.7
215825.0,839925.0,303.6
215875.0,839925.0,314.3
215925.0,839925.0,319.8
215975.0,839925.0,323.5
216025.0,839925.0,324.0
216075.0,839925.0,329.2
216125.0,839925.0,331.0
216175.0,839925.0,340.6
216225.0,839925.0,347.4
216275.0,839925.0,357.1
216325.0,839925.0,362.9
216375.0,839925.0,368.7
216425.0,839925.0,378.4
216475.0,839925.0,390.0
216525.0,839925.0,403.5
216575.0,839925.0,412.8
216625.0,839925.0,422.9
216675.0,839925.0,434.8
216725.0,839925.0,446.3
216775.0,839925.0,461.1
216825.0,839925.0,469.1
216875.0,839925.0,470.5
216925.0,839925.0,470.3
216975.0,839925.0,473.1
217025.0,839925.0,476.8
217075.0,839925.0,478.2
217125.0,839925.0,475.7
217175.0,839925.0,472.6
217225.0,839925.0,464.0
217275.0,839925.0,462.2
217325.0,839925.0,457.0
217375.0,839925.0,450.6
217425.0,839925.0,445.4
217475.0,839925.0,439.9
217525.0,839925.0,437.7
217575.0,839925.0,435.6
217625.0,839925.0,431.9
217675.0,839925.0,425.8
217725.0,839925.0,428.8
217775.0,839925.0,437.3
217825.0,839925.0,442.1
217875.0,839925.0,447.3
217925.0,839925.0,452.3
217975.0,839925.0,461.1
218025.0,839925.0,467.2
218075.0,839925.0,470.2
218125.0,839925.0,471.4
218175.0,839925.0,473.9
218225.0,839925.0,478.1
218275.0,839925.0,475.4
218325.0,839925.0,476.3
218375.0,839925.0,471.7
218425.0,839925.0,459.4
218475.0,839925.0,443.3
218525.0,839925.0,432.1
218575.0,839925.0,419.0
218625.0,839925.0,419.0
218675.0,839925.0,419.7
218725.0,839925.0,412.6
218775.0,839925.0,406.3
218825.0,839925.0,409.7
218875.0,839925.0,423.3
218925.0,839925.0,438.8
218975.0,839925.0,453.7
219025.0,839925.0,444.8
219075.0,839925.0,431.3
219125.0,839925.0,404.0
219175.0,839925.0,344.4
219225.0,839925.0,301.2
219275.0,839925.0,266.8
219325.0,839925.0,249.8
219375.0,839925.0,242.1
219425.0,839925.0,234.3
219475.0,839925.0,231.3
219525.0,839925.0,218.7
219575.0,839925.0,218.7
219625.0,839925.0,218.7
219675.0,839925.0,218.7
219725.0,839925.0,218.7
