InitialWolves,Run,Extinction,ExtinctionWeek,MinDeer,FinalDeer,FinalWolves,MaxWolves,TimeToDeer4000,TimeToDeer3000,MeanDeerPerWolf_Year1,MeanWeeklyDeerKilled_Year1,MeanWolfBirths_Year1,MeanWolfDeaths_Year1,MeanDeer_FinalPhase,SDDeer_FinalPhase,MeanWolves_FinalPhase
30,6,True,0.0,426,444,0,76,1063.0,1153.0,358.3086172716325,4.485714285714286,0.08571428571428572,0.009523809523809525,489.6682615629984,25.633521249726527,3.4513556618819776
30,7,True,0.0,558,584,0,77,1238.5,1332.0,324.7590222886575,4.133333333333334,0.13333333333333333,0.0380952380952381,601.3272357723578,42.91303550860588,2.815040650406504
30,8,False,,534,1692,13,80,1179.0,1294.0,379.99703447116866,4.142857142857143,0.05714285714285714,0.01904761904761905,2229.4250574942507,984.7798996771103,15.60963903609639
30,9,False,,596,2697,19,80,1190.0,1296.5,362.4983663900555,4.066666666666666,0.08571428571428572,0.02857142857142857,2127.989801019898,267.6528611765068,14.988701129887012
30,10,True,0.0,168,188,0,91,1264.0,1369.0,359.0309384452705,4.371428571428571,0.05714285714285714,0.009523809523809525,953.5425127734835,624.9748358094072,6.13336826935674
30,11,True,0.0,211,225,0,90,1301.5,1387.0,387.46764658915777,4.019047619047619,0.0761904761904762,0.05714285714285714,283.6173361522199,52.13557291993689,1.9143763213530656
30,12,False,,478,1383,11,77,1264.5,1399.0,404.01935148401225,4.333333333333333,0.047619047619047616,0.047619047619047616,1903.090690930907,429.14028717230985,12.756624337566244
30,13,False,,387,2335,14,81,1299.5,1452.0,391.8015894203436,4.3238095238095235,0.02857142857142857,0.02857142857142857,1760.7779222077793,353.1606900215854,11.718728127187282
30,14,False,,840,1881,16,80,1303.5,1521.5,352.70470175737296,3.980952380952381,0.10476190476190476,0.05714285714285714,2222.960103989601,839.2517000924985,16.03799620037996
30,15,True,0.0,401,466,0,82,1098.5,1188.5,386.89708620248246,4.352380952380952,0.047619047619047616,0.02857142857142857,448.03115501519756,18.872228427327133,2.8335866261398177
30,16,True,0.0,526,1708,0,77,1203.5,1337.0,382.46987622129444,4.171428571428572,0.06666666666666667,0.047619047619047616,1321.6014026884864,228.20288008165778,3.0134424313267094
30,17,True,0.0,221,411,0,86,1193.5,1295.0,380.7283499162127,4.228571428571429,0.047619047619047616,0.01904761904761905,333.41545189504376,36.319387098720625,1.9322157434402332
30,18,False,,374,2114,16,81,1102.0,1203.0,363.644142937674,3.142857142857143,0.0761904761904762,0.009523809523809525,1981.5994400559944,144.61862236823595,14.858614138586141
30,19,False,,619,2198,18,84,1160.0,1257.5,353.1721344987979,4.095238095238095,0.08571428571428572,0.02857142857142857,2535.7530246975302,203.18605610892763,18.64963503649635
40,0,True,0.0,535,1824,0,76,943.5,1057.5,283.384448370238,5.447619047619048,0.09523809523809523,0.047619047619047616,1354.6715261958998,265.0598203670475,1.3298405466970387
40,1,True,0.0,234,554,0,82,942.5,1043.5,273.4880815214398,5.142857142857143,0.0761904761904762,0.01904761904761905,432.35673981191223,64.12999470006412,1.3648902821316615
40,2,True,0.0,448,618,0,76,1125.0,1253.5,290.04703665312525,6.390476190476191,0.0380952380952381,0.0,535.111301369863,52.34128930640703,3.7148972602739727
40,3,True,0.0,781,1721,0,75,1199.0,1352.5,294.711243546359,5.466666666666667,0.06666666666666667,0.0380952380952381,1364.2408834103749,195.5250422603585,3.9933230611196713
40,4,True,0.0,365,411,0,89,1176.0,1281.5,285.1794735180607,5.304761904761905,0.10476190476190476,0.05714285714285714,398.81930333817127,13.85142677216664,1.6407837445573294
40,5,False,,360,2295,16,83,1181.5,1312.0,276.4577262807805,5.257142857142857,0.11428571428571428,0.02857142857142857,1264.7216278372164,481.77360378209795,8.420857914208579
40,6,False,,381,2675,18,78,1185.0,1321.5,282.8167172457885,5.314285714285714,0.0761904761904762,0.02857142857142857,2190.4448555144486,502.8445823351203,15.74922507749225
40,7,True,0.0,444,451,0,85,979.5,1085.5,280.79362018473495,5.257142857142857,0.10476190476190476,0.047619047619047616,515.3383458646616,67.24286284270175,3.138560687432868
40,8,True,0.0,445,511,0,80,1152.5,1298.5,261.9539049774088,6.3619047619047615,0.10476190476190476,0.047619047619047616,504.7521865889213,32.095094598815685,2.8095238095238093
40,9,True,0.0,646,1294,0,81,1274.0,1403.0,240.78868208787262,5.285714285714286,0.1523809523809524,0.02857142857142857,994.7814207650273,82.34632102235194,5.311273021655535
40,10,True,0.0,280,495,0,81,974.0,1083.5,261.4819716356758,5.190476190476191,0.14285714285714285,0.047619047619047616,915.2490193747772,627.2835473311152,6.638060145013669
40,11,False,,898,1210,10,86,948.5,1050.5,280.87647579374146,5.352380952380952,0.08571428571428572,0.05714285714285714,1339.4165583441657,370.1650962230148,9.597240275972403
40,12,True,0.0,239,555,0,78,891.5,980.5,277.2292817857189,6.257142857142857,0.08571428571428572,0.047619047619047616,429.77645228215766,61.74093661620962,1.7095435684647302
40,13,False,,477,1301,6,75,884.0,991.0,269.0096474809166,5.428571428571429,0.13333333333333333,0.05714285714285714,1467.3073692630737,280.415486938023,10.729127087291271
40,14,False,,607,3107,19,87,1061.0,1180.5,271.4829646556905,5.180952380952381,0.10476190476190476,0.0380952380952381,1872.7828217178283,731.1808434504264,13.213278672132788
40,15,True,0.0,256,286,0,84,1023.5,1148.0,269.7964221023802,5.219047619047619,0.14285714285714285,0.06666666666666667,1954.8056511931616,1270.0989882294873,11.989908583640034
40,16,False,,744,1598,13,83,1246.5,1370.5,295.62011863281896,5.2,0.02857142857142857,0.01904761904761905,1714.1465853414659,565.0998772877135,12.758624137586242
